lat,long,catagories,severity
30.296607988300003,120.071770345
30.2966301771,120.071638502
30.2966512861,120.071496916
30.2966705529,120.07135030900001
30.296688838199998,120.07120877
30.2967081628,120.071063861
30.296729271999997,120.070915076
30.296751695399998,120.070776007
30.2967757372,120.070638476
30.2968013581,120.07049722800001
30.2968246568,120.07035461900001
30.296841120899998,120.070219329
30.2968522235,120.07009038300001
30.296860316500002,120.069958114
30.2968666214,120.06982265
30.2968718348,120.069692312
30.2968749862,120.06956624
30.296876462199997,120.06944079200001
30.296877362700002,120.069308168
30.2968779254,120.06917926199999
30.296877556200002,120.069052383
30.2968771153,120.068939138
30.2968762354,120.068825664
30.2968758333,120.06871234
30.296875406399998,120.06860768300001
30.296874216299997,120.068499777
30.2968732917,120.06838975000001
30.2968729747,120.06828340800001
30.2968725937,120.06817814
30.2968721513,120.06807279799999
30.2968714928,120.067961761
30.296870221499997,120.06785261099999
30.2968682159,120.06773424900001
30.2968662453,120.06762047599999
30.2968648971,120.06751163499999
30.2968639232,120.06741167599999
30.2968627703,120.067317854
30.296861832999998,120.067218236
30.2968620603,120.06711006100001
30.2968627377,120.066992811
30.2968633059,120.066869893
30.2968645505,120.066743069
30.296864698600004,120.066612191
30.2968655328,120.06648279
30.2968668253,120.06637259200001
30.296869993599998,120.066271791
30.296872865,120.06618871999999
30.2968751577,120.066118905
30.2968763847,120.066061969
30.2968774382,120.066015905
30.296878062599998,120.06598329
30.2968781224,120.065962447
30.2968780074,120.06595124699999
30.2968773668,120.065946882
30.296876412800003,120.065945499
30.296876189200002,120.065944473
30.296876442,120.06594263299999
30.2968772487,120.065937606
30.296878099300002,120.06592243200001
30.2968801136,120.06589007000001
30.296882638299998,120.06583813499999
30.2968860034,120.065774605
30.2968904944,120.06571463
30.2968951014,120.06565332
30.2968990076,120.065586477
30.296902833700003,120.065517615
30.29690686,120.06545172199999
30.296912005899998,120.06538769000001
30.2969170035,120.065323729
30.2969215344,120.06526439999999
30.296926249200002,120.06520595
30.2969317703,120.065143245
30.296938568199998,120.06507395099999
30.2969476993,120.065004403
30.2969584364,120.06493003400001
30.2969717547,120.064848551
30.296988544199998,120.064759822
30.2970056634,120.064669356
30.297026219099997,120.06457100400002
30.2970470499,120.06447372000001
30.2970695567,120.06437064699999
30.2970921479,120.064259275
30.2971143281,120.064149487
30.2971380317,120.064032279
30.2971657326,120.06390125600001
30.2971936023,120.06377478899999
30.2972215358,120.063647924
30.2972503975,120.063520109
30.2972820713,120.063385565
30.2973117156,120.063259363
30.2973396389,120.063143279
30.2973654205,120.063030958
30.297391218799998,120.06291828900001
30.2974171708,120.06280259200001
30.2974421262,120.06269486400001
30.297468979,120.062580785
30.297496838500003,120.06246290499999
30.297525935,120.062337758
30.2975562845,120.062208716
30.297585658,120.06208312000001
